Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545580114,2018-12-23T15:48:34Z,EZY58JG,"46.228661,6.101113",0,0,46
1545580141,2018-12-23T15:49:01Z,EZY58JG,"46.228844,6.100862",0,12,129
1545580153,2018-12-23T15:49:13Z,EZY58JG,"46.229004,6.100627",0,13,106
1545580164,2018-12-23T15:49:24Z,EZY58JG,"46.229073,6.100359",0,11,67
1545580342,2018-12-23T15:52:22Z,EZY58JG,"46.229282,6.100571",0,12,47
1545580354,2018-12-23T15:52:34Z,EZY58JG,"46.229481,6.100863",0,17,47
1545580363,2018-12-23T15:52:43Z,EZY58JG,"46.229713,6.101206",0,21,44
1545580369,2018-12-23T15:52:49Z,EZY58JG,"46.229885,6.101463",0,23,43
1545580377,2018-12-23T15:52:57Z,EZY58JG,"46.230057,6.101716",0,21,48
1545580386,2018-12-23T15:53:06Z,EZY58JG,"46.230095,6.102287",0,22,106
1545580393,2018-12-23T15:53:13Z,EZY58JG,"46.229839,6.102604",0,25,135
1545580399,2018-12-23T15:53:19Z,EZY58JG,"46.22963,6.102905",0,26,135
1545580405,2018-12-23T15:53:25Z,EZY58JG,"46.229504,6.10318",0,22,118
1545580414,2018-12-23T15:53:34Z,EZY58JG,"46.229652,6.103643",0,20,56
1545580420,2018-12-23T15:53:40Z,EZY58JG,"46.229816,6.103867",0,21,47
1545580429,2018-12-23T15:53:49Z,EZY58JG,"46.230125,6.104312",0,27,43
1545580435,2018-12-23T15:53:55Z,EZY58JG,"46.230366,6.104673",0,31,44
1545580442,2018-12-23T15:54:02Z,EZY58JG,"46.230595,6.105015",0,29,46
1545580449,2018-12-23T15:54:09Z,EZY58JG,"46.230812,6.105334",0,15,53
1545580466,2018-12-23T15:54:26Z,EZY58JG,"46.231133,6.105803",0,20,45
1545580472,2018-12-23T15:54:32Z,EZY58JG,"46.231327,6.106087",0,23,43
1545580479,2018-12-23T15:54:39Z,EZY58JG,"46.231529,6.10639",0,26,48
1545580485,2018-12-23T15:54:45Z,EZY58JG,"46.231842,6.106853",0,29,45
1545580492,2018-12-23T15:54:52Z,EZY58JG,"46.232128,6.107276",0,32,45
1545580498,2018-12-23T15:54:58Z,EZY58JG,"46.232388,6.10766",0,30,42
1545580504,2018-12-23T15:55:04Z,EZY58JG,"46.232681,6.107798",0,27,19
1545580511,2018-12-23T15:55:11Z,EZY58JG,"46.232998,6.10793",0,30,16
1545580521,2018-12-23T15:55:21Z,EZY58JG,"46.233433,6.108264",0,27,36
1545580530,2018-12-23T15:55:30Z,EZY58JG,"46.233749,6.108725",0,28,47
1545580538,2018-12-23T15:55:38Z,EZY58JG,"46.234123,6.109274",0,29,44
1545580546,2018-12-23T15:55:46Z,EZY58JG,"46.234474,6.109788",0,32,44
1545580553,2018-12-23T15:55:53Z,EZY58JG,"46.234806,6.110274",0,15,44
1545580559,2018-12-23T15:55:59Z,EZY58JG,"46.235054,6.110647",0,16,46
1545580565,2018-12-23T15:56:05Z,EZY58JG,"46.235428,6.111179",0,33,44
1545580571,2018-12-23T15:56:11Z,EZY58JG,"46.235638,6.111506",0,25,48
1545580581,2018-12-23T15:56:21Z,EZY58JG,"46.236042,6.111591",0,22,345
1545580596,2018-12-23T15:56:36Z,EZY58JG,"46.236603,6.110819",0,25,315
1545580603,2018-12-23T15:56:43Z,EZY58JG,"46.236813,6.110664",0,23,337
1545580613,2018-12-23T15:56:53Z,EZY58JG,"46.237186,6.111011",0,26,32
1545580619,2018-12-23T15:56:59Z,EZY58JG,"46.237415,6.111334",0,28,44
1545580627,2018-12-23T15:57:07Z,EZY58JG,"46.237766,6.111849",0,32,45
1545580636,2018-12-23T15:57:16Z,EZY58JG,"46.238251,6.112552",0,15,45
1545580643,2018-12-23T15:57:23Z,EZY58JG,"46.238571,6.113021",0,16,45
1545580650,2018-12-23T15:57:30Z,EZY58JG,"46.239021,6.113686",0,17,46
1545580656,2018-12-23T15:57:36Z,EZY58JG,"46.239349,6.114166",0,18,45
1545580663,2018-12-23T15:57:43Z,EZY58JG,"46.239815,6.114853",0,20,46
1545580669,2018-12-23T15:57:49Z,EZY58JG,"46.240276,6.115516",0,22,45
1545580677,2018-12-23T15:57:57Z,EZY58JG,"46.240711,6.116169",0,23,47
1545580685,2018-12-23T15:58:05Z,EZY58JG,"46.241444,6.117239",0,25,45
1545580691,2018-12-23T15:58:11Z,EZY58JG,"46.241901,6.117911",0,22,45
1545580702,2018-12-23T15:58:22Z,EZY58JG,"46.242554,6.118882",0,34,46
1545580709,2018-12-23T15:58:29Z,EZY58JG,"46.242783,6.119213",0,24,44
1545580720,2018-12-23T15:58:40Z,EZY58JG,"46.242981,6.119505",0,16,49
1545580727,2018-12-23T15:58:47Z,EZY58JG,"46.243141,6.119745",0,18,46
1545580739,2018-12-23T15:58:59Z,EZY58JG,"46.243481,6.120226",0,22,42
1545580745,2018-12-23T15:59:05Z,EZY58JG,"46.243652,6.120473",0,22,39
1545580751,2018-12-23T15:59:11Z,EZY58JG,"46.243835,6.120741",0,23,43
1545580759,2018-12-23T15:59:19Z,EZY58JG,"46.244015,6.121016",0,23,47
1545580768,2018-12-23T15:59:28Z,EZY58JG,"46.244385,6.121562",0,24,46
1545580774,2018-12-23T15:59:34Z,EZY58JG,"46.244579,6.12183",0,23,41
1545580785,2018-12-23T15:59:45Z,EZY58JG,"46.244854,6.122249",0,23,45
1545580796,2018-12-23T15:59:56Z,EZY58JG,"46.245224,6.122801",0,24,47
1545580804,2018-12-23T16:00:04Z,EZY58JG,"46.245529,6.123237",0,26,46
1545580810,2018-12-23T16:00:10Z,EZY58JG,"46.245728,6.123522",0,26,40
1545580817,2018-12-23T16:00:17Z,EZY58JG,"46.245911,6.123796",0,20,46
1545580830,2018-12-23T16:00:30Z,EZY58JG,"46.246262,6.124309",0,25,45
1545580840,2018-12-23T16:00:40Z,EZY58JG,"46.246597,6.124809",0,18,45
1545580856,2018-12-23T16:00:56Z,EZY58JG,"46.246902,6.125273",0,16,47
1545580918,2018-12-23T16:01:58Z,EZY58JG,"46.247051,6.125481",0,13,45
1545580930,2018-12-23T16:02:10Z,EZY58JG,"46.247223,6.125732",0,14,46
1545580945,2018-12-23T16:02:25Z,EZY58JG,"46.24736,6.125933",0,10,40
1545580958,2018-12-23T16:02:38Z,EZY58JG,"46.247543,6.126184",0,15,38
1545580966,2018-12-23T16:02:46Z,EZY58JG,"46.247726,6.12644",0,16,42
1545581163,2018-12-23T16:06:03Z,EZY58JG,"46.247944,6.126637",0,10,30
1545581179,2018-12-23T16:06:19Z,EZY58JG,"46.24823,6.126783",0,13,19
1545581185,2018-12-23T16:06:25Z,EZY58JG,"46.247856,6.12656",0,9,19
